Query,URL,Function Rating,Custom Rating
Climate change effects,https://www.nationalgeographic.com/environment/article/climate-change-overview,3,3
COVID-19 vaccine effectiveness,https://www.cdc.gov/coronavirus/2019-ncov/vaccines/effectiveness.html,2,3
Latest AI advancements,https://www.technologyreview.com/topic/artificial-intelligence,3,1
Stock market trends,https://www.bloomberg.com/markets,3,1
Healthy diet tips,https://www.healthline.com/nutrition/healthy-eating-tips,4,4
Space exploration missions,https://www.nasa.gov/missions,4,2
Electric vehicle benefits,https://www.tesla.com/benefits,3,5
History of the internet,https://www.history.com/topics/inventions/history-of-the-internet,2,2
Python programming tutorials,https://realpython.com,3,4
Mental health awareness,https://www.who.int/news-room/fact-sheets/detail/mental-health-strengthening-our-response,2,1
